Mã sản phẩm,Tên sản phẩm,Danh mục,Thương hiệu,Xuất xứ,Giá gốc,Giá bán hiện tại,Giảm giá,Định lượng,Số lượng đã bán,Số lượng hàng tồn kho,Số lượt xem sản phẩm,Điểm đánh giá,Số lượng đánh giá,Mùa phổ biến,Giá trị định lượng,Đơn vị,Định lượng (g),Định lượng (ml),Loại sản phẩm
100020009656,Hồng Trà Túi Lọc Savo,Trà,Savo,Thái Nguyên,49000.0,33000.0,0.33,300g,20,275,40,4.6,43,Hè,300.0,g,300.0,,rắn
100020008247,Trà Bí Đao Hạt Chia Will,Trà,GUNGON,Thái Nguyên,40000.0,33000.0,0.18,168g,20,376,48,4.2,6,Hè,168.0,g,168.0,,rắn
100020008248,Trà Kim Quất Mật Ong Will,Trà,GUNGON,Thái Nguyên,40000.0,33000.0,0.18,168g,2,261,23,4.0,41,Đông,168.0,g,168.0,,rắn
100020000995,Trà Xanh Nhài,Trà,Cozy,Hồ Chí Minh,35000.0,33000.0,0.06,50g,426,261,964,4.0,15,4 mùa,50.0,g,50.0,,rắn
100020000509,Trà OLong Mộc Châu Vị Ngọt Sâu,Trà,Maloca,Thái Nguyên,138000.0,89000.0,0.36,100g,1116,381,2011,4.1,26,4 mùa,100.0,g,100.0,,rắn
100020010419,Trà Cooling Pyramid,Trà,Đặc sản ngon lành,Huế,115000.0,86000.0,0.25,30g,166,307,305,4.8,16,4 mùa,30.0,g,30.0,,rắn
100020010579,Cà Phê Túi Lọc Tiện Lợi,Cà phê,UFO Coffee,Hà Nội,96000.0,55000.0,0.43,320g,429,372,857,4.7,35,4 mùa,320.0,g,320.0,,rắn
400050009561,Hồng Vuông Treo Gió Đà Lạt (Lên Phấn Đường),Ô mai,Đặc sản ngon lành,Đà Lạt,150000.0,110000.0,0.27,250g,6,323,97,4.5,6,4 mùa,250.0,g,250.0,,rắn
100020005436,Rượu Mơ (chai 250ml),Rượu,EMMO,Huế,238000.0,175000.0,0.26,250ml,591,133,1737,4.5,9,4 mùa,250.0,ml,,250000.0,lỏng
100020005437,Rượu Mơ (chai 500ml),Rượu,EMMO,Huế,350000.0,310000.0,0.11,500ml,350,421,945,4.3,7,4 mùa,500.0,ml,,500000.0,lỏng
400050010058,Dừa Sọ Tươi Ngon,Hoa quả,FOODMAP Fruits,Tiền Giang,169000.0,123000.0,0.27,2700g,1287,137,3973,4.9,30,4 mùa,2700.0,g,2700.0,,rắn
400050000119,"Bơ Booth Chín Già, Dẻo, Thơm",Hoa quả,FOODMAP Fruits,Lâm Đồng,75000.0,39000.0,0.48,1000g,432,113,1357,4.2,12,4 mùa,1000.0,g,1000.0,,rắn
100010010147,Hồng Treo Gió Đà Lạt,Đặc sản,Đặc sản ngon lành,Đà Lạt,199000.0,129000.0,0.35,400g,888,434,1806,4.7,34,Đông,400.0,g,400.0,,rắn
400050009718,Sầu Riêng Ri6,Trái Cây,VUA SẦU RIÊNG,Miền Tây,479000.0,319000.0,0.33,1500g,1184,500,1609,4.4,42,Hè,1500.0,g,1500.0,,rắn
